Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J2,X6511WVS-08H-C60D48R2,HUSRSP8W66P254_2000X250X850P,-127.300000,-102.100000,0.000000,bottom
J3,DZ254S-11-10-48,HUSRSP10W66P254_2500X250X850P,-165.400000,-102.100000,0.000000,bottom
,,,187.100000,-99.900000,0.000000,top
C1,1u,CAPC1005X60N,150.230000,-94.690000,180.000000,top
C2,22uF,CAPC1005X80N,181.525000,-90.350000,180.000000,top
C3,100n,CAPC1005X55N,179.525000,-90.300000,0.000000,top
C4,100nF,CAPC1005X55N,155.390000,-102.150000,0.000000,top
C5,22uF,CAPC1005X80N,126.100000,-102.250000,-90.000000,top
C6,10uF,CAPC1005X70N,133.100000,-99.500000,-90.000000,top
C7,100n,CAPC1005X55N,116.540000,-92.270000,180.000000,top
C8,100n,CAPC1005X55N,129.290000,-96.620000,90.000000,top
C9,100n,CAPC1005X55N,134.420000,-99.510000,-90.000000,top
C10,100n,CAPC1005X55N,133.000000,-96.625000,90.000000,top
C11,100n,CAPC1005X55N,136.225000,-96.600000,90.000000,top
IC1,ESP32-WROOM-32E-N4,ESP32WROOM32EN4,171.300000,-99.850000,-90.000000,top
IC2,DMP1045U-7,SOT96P240X120-3N,127.500000,-93.650000,-90.000000,top
IC3,AZ1117H-3.3TRE1,SOT230P700X180-4N,131.100000,-104.400000,180.000000,top
IC4,DMP1045U-7,SOT96P240X120-3N,137.250000,-103.425000,-90.000000,top
IC5,DMP1045U-7,SOT96P240X120-3N,140.100000,-106.050000,-90.000000,top
J1,3220-10-0300-00,322010030000,146.400000,-99.900000,0.000000,top
J4,Conn_01x11,PinHeader_1x11_P2.54mm_Vertical,129.370000,-109.940000,90.000000,top
J5,Conn_01x11,PinHeader_1x11_P2.54mm_Vertical,129.370000,-89.840000,90.000000,top
J6,503398-1892,503398-1892,111.060000,-106.400000,90.000000,top
LED1,WS2812B-2020,WS2812B2020,155.400000,-99.800000,90.000000,top
LED2,TX,LEDC1608X50N,142.800000,-93.850000,-90.000000,top
LED3,RX,LEDC1608X50N,145.900000,-93.850000,-90.000000,top
LED4,3V3,19217R6CAL1M2VY3T,127.850000,-99.100000,180.000000,top
R1,10k,RESC1005X40N,150.250000,-93.800000,0.000000,top
R2,220,RESC1005X40N,155.400000,-97.430000,180.000000,top
R3,1K,RESC1005X40N,119.900000,-91.910000,-90.000000,top
R4,1K,RESC1005X40N,117.820000,-91.900000,-90.000000,top
R5,1K,RESC1005X40N,115.300000,-91.900000,-90.000000,top
R6,10k,RESC1005X40N,150.110000,-104.890000,180.000000,top
R7,100K,RESC1005X40N,130.410000,-96.610000,90.000000,top
R8,100K,RESC1005X40N,131.610000,-96.600000,90.000000,top
R9,100K,RESC1005X40N,133.790000,-96.590000,90.000000,top
R10,100K,RESC1005X40N,134.960000,-96.590000,90.000000,top
R11,100K,RESC1005X40N,137.200000,-96.600000,90.000000,top
R12,100K,RESC1005X40N,138.400000,-96.600000,90.000000,top
R13,1K,RESC1005X40N,144.350000,-93.850000,-90.000000,top
R14,1K,RESC1005X40N,147.400000,-93.800000,-90.000000,top
R15,1K,RESC1005X40N,127.050000,-96.950000,0.000000,top
S1,SKRPABE010,SKRPABE010,154.150000,-93.800000,0.000000,top
S2,SKRPABE010,SKRPABE010,154.150000,-105.950000,0.000000,top
U1,MMDT2907A-7-F,SOT65P210X110-6N,130.800000,-93.610000,-90.000000,top
U2,MMDT2907A-7-F,SOT65P210X110-6N,134.150000,-93.600000,-90.000000,top
U3,MMDT2907A-7-F,SOT65P210X110-6N,137.600000,-93.600000,-90.000000,top
